"Language","ISO_code","Phoible_code","Meaning","Form","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","revision"
"Tangsa (Yogli)","nst","nst","smooth","küra","no","CLICS",27.5,96.33,"Sino-Tibetan","Brahmaputran (Sal)","Southeast Asia","S/SE Asia",-6.9,FALSE,"no trill",TRUE,FALSE,"trilled"
"Angami Kohima","njm","njm","rough","kemehie","no","CLICS",25.55,94.1333,"Sino-Tibetan","Angami-Pochuri Group","Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,FALSE,"trilled"
"Dimasa","dis",NA,"rough","baraba","yes","CLICS",25.42,93.18,"Sino-Tibetan","Brahmaputran (Sal)","Indic","S/SE Asia",6.2,TRUE,"trill",TRUE,FALSE,"trilled"
"Jingpho","kac","kac","rough","nra","no","CLICS",25.461826,97.329866,"Sino-Tibetan","Nungish","Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",TRUE,FALSE,"NA"
"Jingpho","kac","kac","rough","laja","no","CLICS",25.461826,97.329866,"Sino-Tibetan","Nungish","Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,TRUE,"NA"
"Lushai","lus","lus","rough","buan","no","CLICS",22.60535,92.629457,"Sino-Tibetan","Kukish (Mizo-Kuki-Chin)","Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,FALSE,"other"
"Lushai","lus","lus","rough","buk","no","CLICS",22.60535,92.629457,"Sino-Tibetan","Kukish (Mizo-Kuki-Chin)","Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,FALSE,"other"
"Mao","nbi","nbi","rough","kotho","yes","CLICS",25.4667,94.1167,"Sino-Tibetan","Angami-Pochuri Group","Southeast Asia","S/SE Asia",6.2,TRUE,"trill",FALSE,FALSE,"trilled"
"Manipuri","mni","mni","rough","nandaba","yes","CLICS",24.44,93.34,"Sino-Tibetan",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"trill",FALSE,FALSE,"OUT"
"Mikir","mjw","mjw","rough","kindeng","yes","CLICS",25.735084,93.050494,"Sino-Tibetan",NA,"Indic","S/SE Asia",6.2,TRUE,"trill",FALSE,FALSE,"trilled"
"Sangtam","nsa",NA,"rough","yongkoyongru","no","CLICS",25.0667,94.8667,"Sino-Tibetan",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",TRUE,FALSE,"other"
"North Karelian","krl",NA,"smooth","siliɛ","yes","CLICS",65.17,30.87,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Veps","vep",NA,"smooth","silɛd","yes","CLICS",60.34,34.79,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Livonian","liv",NA,"smooth","siˀldzi","yes","CLICS",57.57,22.03,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Southern Sami","sma","sma","smooth","ɲalhkɛdihks","yes","CLICS",64.25,12.6,"Uralic","Finno-Ugric","Europe","W and SW Eurasia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Lule Sami","smj",NA,"smooth","njɑlkɑs","yes","CLICS",67.28,17.81,"Uralic","Finno-Ugric","Europe","W and SW Eurasia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
"Inari Sami","smn",NA,"smooth","ʃoːlːɐd","yes","CLICS",69.42,27.87,"Uralic","Finno-Ugric","Inner Asia","N-C Asia",-6.9,FALSE,"trill",FALSE,TRUE,"trilled"
